layer,head,r_all,r_hall,r_grnd,contrast,combined_rank
31,27,0.007270068356668113,0.003950141370296478,0.008574743324251318,0.0046246019539548395,415.0
17,15,0.015375066818610452,0.008630791306495666,0.01378341041394134,0.0051526191074456745,442.0
24,5,0.01934407100189803,0.022460746765136718,0.029934766873791444,0.0074740201086547255,447.0
21,14,0.03903400967889008,0.02846221923828125,0.0786099172943267,0.05014769805604545,455.0
23,1,0.01819749457887045,0.016591399908065796,0.02233637624712133,0.0057449763390555325,463.0
16,15,0.016506652037302654,0.011535661667585373,0.016265670087800096,0.004730008420214723,475.0
27,12,0.025785844915494262,0.011721150577068329,0.023450012823835534,0.011728862246767205,479.0
14,22,0.01448789569600602,0.011299103498458862,0.015121578577146008,0.003822475078687146,479.0
31,13,0.019077484201663487,0.01679340600967407,0.02206869742170495,0.0052752914120308796,488.0
17,28,0.023601706084471312,0.017641234397888183,0.025799267327607567,0.008158032929719384,489.0
6,31,0.026737983590863608,0.018387258052825928,0.031149143010229613,0.012761884957403685,490.0
22,11,0.0389289176578732,0.02532690018415451,0.060608949234236535,0.035282049050082025,490.0
23,10,0.022803381298619092,0.02042742967605591,0.027863145467653797,0.007435715791597887,493.0
22,26,0.018493650889637156,0.015826982259750367,0.020879351381045668,0.005052369121295301,494.0
27,10,0.01994522205686558,0.01841164827346802,0.02397345547652363,0.0055618072030556125,494.0
12,6,0.018554056750589933,0.012972939014434814,0.01782672559443991,0.004853786580005095,500.0
9,28,0.02061374797637603,0.018199169635772706,0.023684074629598588,0.0054849049938258815,503.0
14,30,0.025371710123826774,0.022110748291015624,0.031034135106784193,0.00892338681576857,511.0
12,29,0.013198607241411095,0.009841045737266541,0.012762386407425155,0.002921340670158614,516.0
13,26,0.015582486214616505,0.013435435295104981,0.016812038658863278,0.0033766033637582966,517.0
17,17,0.01016411584446527,0.009246502816677094,0.011351751450875506,0.0021052486341984113,518.0
26,9,0.023347380307815233,0.01571527644991875,0.02190618068721164,0.006190904237292891,522.0
13,8,0.00957586641969352,0.0073990017175674435,0.009449200176480991,0.0020501984589135474,523.0
24,26,0.01571774533061726,0.014851999282836915,0.018182688091524797,0.0033306888086878823,524.0
25,23,0.018700533759949102,0.016974079608917236,0.020963775577829843,0.003989695968912608,531.0
16,12,0.014075921170733328,0.009552106261253357,0.012126434501723864,0.002574328240470507,532.0
12,0,0.026230241836809144,0.023947787284851075,0.032194002350764486,0.008246215065913411,537.0
29,16,0.010592766443440926,0.008172237873077392,0.00994456941215553,0.0017723315390781383,539.0
22,7,0.02067865017795406,0.016587591171264647,0.0210461640239355,0.0044585728526708515,543.0
16,8,0.014257193534496717,0.010865665972232819,0.01306376602519211,0.002198100052959291,544.0
28,27,0.01565356101336514,0.013633227348327637,0.0164067923133053,0.002773564964977661,544.0
7,31,0.034818882844886004,0.025037980079650878,0.04340635366107694,0.01836837358142606,550.0
28,8,0.02021715547622942,0.018817996978759764,0.022684557520928076,0.0038665605421683118,553.0
15,25,0.024881771632603238,0.020667952299118043,0.026276742047931425,0.005608789748813382,565.0
25,27,0.012304919889603538,0.011086928844451904,0.012579782685237144,0.0014928538407852406,565.0
19,27,0.029240871227992803,0.021864962577819825,0.031380311766667154,0.00951534918884733,571.0
10,20,0.035964107781879334,0.03374943733215332,0.05119028138877148,0.01744084405661816,571.0
26,22,0.030903229432684306,0.03489770889282227,0.046255182864061044,0.011357473971238777,571.0
19,17,0.018570176374456453,0.011653077602386475,0.014666222814303725,0.0030131452119172494,574.0
27,9,0.030291527334916152,0.025483345985412596,0.03570214788712079,0.010218801901708194,575.0
19,21,0.04388902491033287,0.039688491821289064,0.06359400203571984,0.023905510214430777,577.0
29,8,0.02176756660842627,0.01772054433822632,0.021537987153921554,0.0038174428156952343,579.0
12,24,0.02792797272064975,0.0260831356048584,0.033659522213152986,0.007576386608294586,582.0
27,25,0.012984829051881057,0.011618149280548096,0.01294205556461467,0.0013239062840665738,584.0
27,29,0.017367020196934806,0.014514970779418945,0.01678653736019609,0.0022715665807771443,585.0
30,23,0.015457322444821814,0.014520740509033203,0.016083363869890052,0.0015626233608568487,588.0
9,27,0.009201415793705009,0.009434711933135987,0.010254231258411312,0.0008195193252753252,592.0
28,10,0.013162716045196197,0.010324418544769287,0.011489073435465494,0.001164654890696207,596.0
23,18,0.02394364155879637,0.02299177646636963,0.027268866401406664,0.004277089935037035,597.0
26,5,0.01626225712431895,0.015808773040771485,0.017339241445361087,0.0015304684045896015,599.0
